path,label
Dataset\Train_Frames\110006\1100061010,3
Dataset\Train_Frames\110006\1100061011,3
Dataset\Train_Frames\110006\1100061012,2
Dataset\Train_Frames\110006\1100061013,3
Dataset\Train_Frames\110006\1100061015,2
Dataset\Train_Frames\110006\1100061016,2
Dataset\Train_Frames\110006\1100061018,2
Dataset\Train_Frames\110006\1100061019,2
Dataset\Train_Frames\110006\1100061022,3
Dataset\Train_Frames\110006\1100061023,2
Dataset\Train_Frames\110006\1100061025,2
Dataset\Train_Frames\110006\1100061027,3
Dataset\Train_Frames\110006\1100061028,2
Dataset\Train_Frames\110006\1100061030,2
Dataset\Train_Frames\110006\1100061031,2
Dataset\Train_Frames\110006\1100061032,2
Dataset\Train_Frames\110006\1100061033,3
Dataset\Train_Frames\110006\1100061034,2
Dataset\Train_Frames\110006\1100061035,2
Dataset\Train_Frames\110006\1100061036,3
Dataset\Train_Frames\110006\1100061038,3
Dataset\Train_Frames\110006\1100061039,2
Dataset\Train_Frames\110006\1100061040,3
Dataset\Train_Frames\110006\1100061042,3
Dataset\Train_Frames\110006\1100061043,3
Dataset\Train_Frames\110006\1100061044,2
Dataset\Train_Frames\110006\1100061046,3
Dataset\Train_Frames\110006\1100061047,3
Dataset\Train_Frames\110006\1100061048,3
Dataset\Train_Frames\110006\1100061049,2
Dataset\Train_Frames\110006\1100061050,2
Dataset\Train_Frames\110006\1100061051,3
Dataset\Train_Frames\110006\1100061053,2
Dataset\Train_Frames\110006\1100061057,2
Dataset\Train_Frames\110006\1100061058,2
Dataset\Train_Frames\110006\1100061061,3
Dataset\Train_Frames\110006\1100061063,3
Dataset\Train_Frames\110006\1100061064,3
Dataset\Train_Frames\110006\1100061067,3
Dataset\Train_Frames\110006\1100061068,3
Dataset\Train_Frames\110006\1100061069,3
Dataset\Train_Frames\110006\1100061073,2
Dataset\Train_Frames\110006\1100061074,2
Dataset\Train_Frames\110006\1100061077,2
Dataset\Train_Frames\110006\1100061078,2
Dataset\Train_Frames\110006\1100062004,3
Dataset\Train_Frames\110006\1100062005,3
Dataset\Train_Frames\110006\1100062007,3
Dataset\Train_Frames\110006\1100062008,1
Dataset\Train_Frames\110006\1100062009,3
Dataset\Train_Frames\110006\1100062016,2
Dataset\Train_Frames\110006\1100062017,3
Dataset\Train_Frames\110006\1100062024,2
Dataset\Train_Frames\110006\1100062028,2
Dataset\Train_Frames\110006\1100062029,2
Dataset\Train_Frames\110006\1100062036,2
Dataset\Train_Frames\110006\1100062037,2
Dataset\Train_Frames\110006\1100062044,2
Dataset\Train_Frames\110006\1100062045,1
Dataset\Train_Frames\110006\1100062046,2
Dataset\Train_Frames\110006\1100062049,1
Dataset\Train_Frames\110006\1100062051,2
Dataset\Train_Frames\110006\1100062053,3
Dataset\Train_Frames\110006\1100062054,2
Dataset\Train_Frames\110006\1100062059,2
Dataset\Train_Frames\110006\1100062060,2
Dataset\Train_Frames\110006\1100062061,2
Dataset\Train_Frames\110006\1100062062,2
Dataset\Train_Frames\110006\1100062063,2
Dataset\Train_Frames\110006\1100062064,2
Dataset\Train_Frames\110006\1100062065,2
Dataset\Train_Frames\110006\1100062066,3
Dataset\Train_Frames\110006\1100062067,3
Dataset\Train_Frames\110006\1100062068,2
Dataset\Train_Frames\110006\1100062069,2
Dataset\Train_Frames\110006\1100062070,2
Dataset\Train_Frames\110006\1100062071,3
Dataset\Train_Frames\110006\1100062072,3
Dataset\Train_Frames\110007\1100071005,2
Dataset\Train_Frames\110007\1100071006,2
Dataset\Train_Frames\110007\1100071007,2
Dataset\Train_Frames\110007\1100071008,3
Dataset\Train_Frames\110007\1100071009,2
Dataset\Train_Frames\110007\1100071010,2
Dataset\Train_Frames\110007\1100071011,2
Dataset\Train_Frames\110007\1100071012,3
Dataset\Train_Frames\110007\1100071013,2
Dataset\Train_Frames\110007\1100071014,3
Dataset\Train_Frames\110007\1100071015,2
Dataset\Train_Frames\110007\1100071016,3
Dataset\Train_Frames\110007\1100071017,2
Dataset\Train_Frames\110007\1100071018,2
Dataset\Train_Frames\110007\1100071019,2
Dataset\Train_Frames\110007\1100071020,2
Dataset\Train_Frames\110007\1100071021,3
Dataset\Train_Frames\110007\1100071022,2
Dataset\Train_Frames\110007\1100071023,2
Dataset\Train_Frames\110007\1100071024,2
Dataset\Train_Frames\110007\1100071026,2
Dataset\Train_Frames\110007\1100071027,2
Dataset\Train_Frames\110007\1100071028,2
Dataset\Train_Frames\110007\1100071029,2
Dataset\Train_Frames\110007\1100071030,3
Dataset\Train_Frames\110007\1100071031,3
Dataset\Train_Frames\110007\1100071032,2
Dataset\Train_Frames\110007\1100071033,2
Dataset\Train_Frames\110007\1100071034,3
Dataset\Train_Frames\110007\1100071035,2
Dataset\Train_Frames\110007\1100071036,2
Dataset\Train_Frames\110007\1100071037,2
Dataset\Train_Frames\110007\1100071040,3
Dataset\Train_Frames\110007\1100071041,2
Dataset\Train_Frames\110007\1100071042,2
Dataset\Train_Frames\110007\1100071043,3
Dataset\Train_Frames\110007\1100071044,2
Dataset\Train_Frames\110007\1100071045,2
Dataset\Train_Frames\110007\1100071046,2
Dataset\Train_Frames\110007\1100071047,2
Dataset\Train_Frames\110007\1100071049,2
Dataset\Train_Frames\110007\1100071050,3
Dataset\Train_Frames\110007\1100071052,2
Dataset\Train_Frames\110007\1100071054,2
Dataset\Train_Frames\110007\1100071055,3
Dataset\Train_Frames\110007\1100071056,2
Dataset\Train_Frames\110007\1100071057,3
Dataset\Train_Frames\110007\1100071058,2
Dataset\Train_Frames\110007\1100071059,2
Dataset\Train_Frames\110007\1100071060,2
Dataset\Train_Frames\110007\1100071061,3
Dataset\Train_Frames\110007\1100071062,2
Dataset\Train_Frames\110007\1100071063,3
Dataset\Train_Frames\110007\1100071064,3
Dataset\Train_Frames\110007\1100071065,2
Dataset\Train_Frames\110007\1100071066,2
Dataset\Train_Frames\110007\1100071067,3
Dataset\Train_Frames\110007\1100071069,2
Dataset\Train_Frames\110007\1100071070,3
Dataset\Train_Frames\110007\1100071071,2
Dataset\Train_Frames\110007\1100071072,2
Dataset\Train_Frames\110007\1100071073,2
Dataset\Train_Frames\110007\1100071074,2
Dataset\Train_Frames\110007\1100071075,2
Dataset\Train_Frames\110007\1100071076,2
Dataset\Train_Frames\110007\1100071077,3
Dataset\Train_Frames\110007\1100071078,3
Dataset\Train_Frames\110007\1100071079,3
Dataset\Train_Frames\110007\1100071080,3
Dataset\Train_Frames\110007\1100071081,3
Dataset\Train_Frames\110007\1100072001,2
Dataset\Train_Frames\110007\1100072002,3
Dataset\Train_Frames\110007\1100072003,3
Dataset\Train_Frames\110007\1100072004,2
Dataset\Train_Frames\110007\1100072006,2
Dataset\Train_Frames\110007\1100072007,2
Dataset\Train_Frames\110007\1100072008,2
Dataset\Train_Frames\110007\1100072009,3
Dataset\Train_Frames\110007\1100072010,2
Dataset\Train_Frames\110007\1100072011,3
Dataset\Train_Frames\110007\1100072012,3
Dataset\Train_Frames\110007\1100072013,2
Dataset\Train_Frames\110007\1100072014,2
Dataset\Train_Frames\110007\1100072015,2
Dataset\Train_Frames\110007\1100072016,2
Dataset\Train_Frames\110007\1100072021,2
Dataset\Train_Frames\110007\1100072022,2
Dataset\Train_Frames\110007\1100072023,3
Dataset\Train_Frames\110007\1100072024,2
Dataset\Train_Frames\110007\1100072027,2
Dataset\Train_Frames\110007\1100072028,2
Dataset\Train_Frames\110007\1100072029,2
Dataset\Train_Frames\110007\1100072030,2
Dataset\Train_Frames\110007\1100072031,2
Dataset\Train_Frames\110007\1100072032,3
Dataset\Train_Frames\110007\1100072033,3
Dataset\Train_Frames\110007\1100072034,2
Dataset\Train_Frames\110007\1100072036,2
Dataset\Train_Frames\110007\1100072037,2
Dataset\Train_Frames\110007\1100072038,2
Dataset\Train_Frames\110007\1100072039,2
Dataset\Train_Frames\110007\1100072040,2
Dataset\Train_Frames\110007\1100072042,2
Dataset\Train_Frames\110007\1100072043,3
Dataset\Train_Frames\110007\1100072045,2
Dataset\Train_Frames\110007\1100072047,3
Dataset\Train_Frames\110007\1100072048,2
Dataset\Train_Frames\110007\1100072049,2
Dataset\Train_Frames\110007\1100072050,2
Dataset\Train_Frames\110007\1100072051,3
Dataset\Train_Frames\110007\1100072052,3
Dataset\Train_Frames\110007\1100072053,2
Dataset\Train_Frames\110007\1100072054,2
Dataset\Train_Frames\110007\1100072056,2
Dataset\Train_Frames\110007\1100072057,2
Dataset\Train_Frames\110007\1100072058,3
Dataset\Train_Frames\110007\1100072059,2
Dataset\Train_Frames\110007\1100072060,2
Dataset\Train_Frames\110007\1100072061,2
Dataset\Train_Frames\110007\1100072062,2
Dataset\Train_Frames\110007\1100072063,3
Dataset\Train_Frames\110007\1100072065,2
Dataset\Train_Frames\110007\1100072066,3
Dataset\Train_Frames\110007\1100072067,2
Dataset\Train_Frames\110007\1100072068,2
Dataset\Train_Frames\110007\1100072069,2
Dataset\Train_Frames\110007\1100072070,2
Dataset\Train_Frames\110007\1100072071,2
Dataset\Train_Frames\110007\1100072072,2
Dataset\Train_Frames\110007\1100072073,2
Dataset\Train_Frames\110007\1100072074,3
Dataset\Train_Frames\110007\1100072075,2
Dataset\Train_Frames\110007\1100072076,2
Dataset\Train_Frames\110007\1100072077,3
Dataset\Train_Frames\110007\1100072078,3
Dataset\Train_Frames\110007\1100072079,2
Dataset\Train_Frames\110007\1100072080,2
Dataset\Train_Frames\110007\1100072081,2
Dataset\Train_Frames\110007\1100072082,3
Dataset\Train_Frames\110007\1100072083,2
Dataset\Train_Frames\110007\1100072084,2
Dataset\Train_Frames\110007\1100072085,2
Dataset\Train_Frames\110008\1100081044,2
Dataset\Train_Frames\110008\1100081045,2
Dataset\Train_Frames\110008\1100081046,2
Dataset\Train_Frames\110008\1100081047,3
Dataset\Train_Frames\110008\1100081048,3
Dataset\Train_Frames\110008\1100082002,3
Dataset\Train_Frames\110008\1100082003,3
Dataset\Train_Frames\110008\1100082018,2
Dataset\Train_Frames\110008\1100082027,2
Dataset\Train_Frames\110010\1100102003,2
Dataset\Train_Frames\110011\1100111001,3
Dataset\Train_Frames\110011\1100111002,3
Dataset\Train_Frames\110011\1100111003,2
Dataset\Train_Frames\110011\1100111008,2
Dataset\Train_Frames\110011\1100111009,2
Dataset\Train_Frames\110011\1100111010,3
Dataset\Train_Frames\110011\1100111011,2
Dataset\Train_Frames\110011\1100111012,2
Dataset\Train_Frames\110011\1100111013,2
Dataset\Train_Frames\110011\1100111014,2
Dataset\Train_Frames\110011\1100111016,2
Dataset\Train_Frames\110011\1100111017,2
Dataset\Train_Frames\110011\1100111018,2
Dataset\Train_Frames\110011\1100111019,2
Dataset\Train_Frames\110011\1100111021,2
Dataset\Train_Frames\110011\1100111023,3
Dataset\Train_Frames\110011\1100111025,3
Dataset\Train_Frames\110011\1100111026,2
Dataset\Train_Frames\110011\1100111027,3
Dataset\Train_Frames\110011\1100111029,2
Dataset\Train_Frames\110011\1100111030,3
Dataset\Train_Frames\110011\1100111032,2
Dataset\Train_Frames\110011\1100112001,2
Dataset\Train_Frames\110011\1100112002,1
Dataset\Train_Frames\110011\1100112003,3
Dataset\Train_Frames\110011\1100112004,3
Dataset\Train_Frames\110011\1100112006,1
Dataset\Train_Frames\110011\1100112007,3
Dataset\Train_Frames\110011\1100112008,3
Dataset\Train_Frames\110011\1100112009,3
Dataset\Train_Frames\110011\1100112010,2
Dataset\Train_Frames\110011\1100112011,2
Dataset\Train_Frames\110011\1100112012,3
Dataset\Train_Frames\110011\1100112013,2
Dataset\Train_Frames\110011\1100112014,2
Dataset\Train_Frames\110011\1100112015,3
Dataset\Train_Frames\110011\1100112016,3
Dataset\Train_Frames\110011\1100112017,3
Dataset\Train_Frames\110011\1100112018,3
Dataset\Train_Frames\110011\1100112021,2
Dataset\Train_Frames\110011\1100112022,2
Dataset\Train_Frames\110011\1100112024,3
Dataset\Train_Frames\110011\1100112025,2
Dataset\Train_Frames\110011\1100112026,2
Dataset\Train_Frames\110011\1100112029,3
Dataset\Train_Frames\110011\1100112030,3
Dataset\Train_Frames\110011\1100112033,3
Dataset\Train_Frames\110011\1100112035,2
Dataset\Train_Frames\110011\1100112036,3
Dataset\Train_Frames\110011\1100112037,3
Dataset\Train_Frames\110011\1100112038,2
Dataset\Train_Frames\110011\1100112039,3
Dataset\Train_Frames\110011\1100112040,2
Dataset\Train_Frames\110011\1100112041,2
Dataset\Train_Frames\110011\1100112042,3
Dataset\Train_Frames\110011\1100112043,2
Dataset\Train_Frames\110011\1100112044,2
Dataset\Train_Frames\110011\1100112045,2
Dataset\Train_Frames\110011\1100112047,3
Dataset\Train_Frames\110011\1100112048,2
Dataset\Train_Frames\110011\1100112051,3
Dataset\Train_Frames\110011\1100112052,3
Dataset\Train_Frames\110011\1100112053,3
Dataset\Train_Frames\110011\1100112056,2
Dataset\Train_Frames\110011\1100112057,3
Dataset\Train_Frames\110011\1100112058,2
Dataset\Train_Frames\110011\1100112059,3
Dataset\Train_Frames\110011\1100112060,3
Dataset\Train_Frames\110011\1100112061,2
Dataset\Train_Frames\110011\1100112062,2
Dataset\Train_Frames\110011\1100112063,2
Dataset\Train_Frames\110011\1100112064,3
Dataset\Train_Frames\110011\1100112065,2
Dataset\Train_Frames\110011\1100112066,3
Dataset\Train_Frames\110011\1100112068,3
Dataset\Train_Frames\110012\1100121002,3
Dataset\Train_Frames\110012\1100121003,2
Dataset\Train_Frames\110012\1100121004,3
Dataset\Train_Frames\110012\1100121005,3
Dataset\Train_Frames\110012\1100121006,3
Dataset\Train_Frames\110012\1100121007,3
Dataset\Train_Frames\110012\1100121008,3
Dataset\Train_Frames\110012\1100121009,3
Dataset\Train_Frames\110012\1100121010,3
Dataset\Train_Frames\110012\1100121011,3
Dataset\Train_Frames\110012\1100121012,3
Dataset\Train_Frames\110012\1100121015,2
Dataset\Train_Frames\110012\1100121016,3
Dataset\Train_Frames\110012\1100121017,3
Dataset\Train_Frames\110012\1100121018,2
Dataset\Train_Frames\110012\1100121019,2
Dataset\Train_Frames\110012\1100121020,3
Dataset\Train_Frames\110012\1100121024,2
Dataset\Train_Frames\110012\1100121025,2
Dataset\Train_Frames\110012\1100121028,3
Dataset\Train_Frames\110012\1100121031,2
Dataset\Train_Frames\110012\1100121032,3
Dataset\Train_Frames\110012\1100121033,2
Dataset\Train_Frames\110012\1100121034,2
Dataset\Train_Frames\110012\1100121035,3
Dataset\Train_Frames\110012\1100121036,2
Dataset\Train_Frames\110012\1100121038,3
Dataset\Train_Frames\110012\1100121040,3
Dataset\Train_Frames\110012\1100121041,2
Dataset\Train_Frames\110012\1100121042,2
Dataset\Train_Frames\110012\1100121044,3
Dataset\Train_Frames\110012\1100121045,3
Dataset\Train_Frames\110012\1100121047,3
Dataset\Train_Frames\110012\1100121049,2
Dataset\Train_Frames\110012\1100121050,3
Dataset\Train_Frames\110012\1100121052,2
Dataset\Train_Frames\110012\1100121053,3
Dataset\Train_Frames\110012\1100121054,3
Dataset\Train_Frames\110012\1100121056,2
Dataset\Train_Frames\110012\1100121057,3
Dataset\Train_Frames\110012\1100121059,2
Dataset\Train_Frames\110012\1100121060,2
Dataset\Train_Frames\110012\1100121061,2
Dataset\Train_Frames\110012\1100121064,3
Dataset\Train_Frames\110012\1100122001,2
Dataset\Train_Frames\110012\1100122002,2
Dataset\Train_Frames\110012\1100122003,2
Dataset\Train_Frames\110012\1100122005,2
